id,owner_id,name,description,invite_code,characters,memberIds,owner_username,created_at,updated_at
3c2e650b-ca11-490b-8558-ca6f08233d44,180d9e55-ccc4-459c-9be5-1dc4be8ede1e,Barfight!,A barfight campaign for all level 1 barfight characters!,NS6JEGQZ,"[{""level"":1,""userId"":""296eff84-0eb6-4665-b08c-055fa995a421"",""species"":""Demibourn"",""portrait"":""https://lbqhiwudvifmkjtkccdg.supabase.co/storage/v1/object/public/portraits/296eff84-0eb6-4665-b08c-055fa995a421/4adf0cff-36f1-48fc-896f-9a2c23c59d2e.jpg"",""archetype"":""Martial"",""characterId"":""4adf0cff-36f1-48fc-896f-9a2c23c59d2e"",""characterName"":""Jacky"",""ownerUsername"":""Denver Brooksby""},{""level"":1,""userId"":""99bc6d80-6c35-401c-aadf-db1655a178d0"",""species"":""Demibourn"",""portrait"":""https://lbqhiwudvifmkjtkccdg.supabase.co/storage/v1/object/public/portraits/99bc6d80-6c35-401c-aadf-db1655a178d0/48b06a44-5b60-4aec-806e-d8fb1cfc8da9.jpg"",""archetype"":""Martial"",""characterId"":""48b06a44-5b60-4aec-806e-d8fb1cfc8da9"",""characterName"":""Kyoko"",""ownerUsername"":""vampswa_vampire""},{""level"":1,""userId"":""6cf350ff-6014-4a06-a145-8a9ccd2e8b9b"",""species"":""Myconid"",""portrait"":""https://lbqhiwudvifmkjtkccdg.supabase.co/storage/v1/object/public/portraits/6cf350ff-6014-4a06-a145-8a9ccd2e8b9b/584b3cd1-bcf1-4a56-a612-ca0b9d182d5b.jpg"",""archetype"":""Martial"",""characterId"":""584b3cd1-bcf1-4a56-a612-ca0b9d182d5b"",""characterName"":""Mycoman Randy Sporage"",""ownerUsername"":""player172121""},{""level"":1,""userId"":""ce4fd023-4645-4b56-9a74-ed874c6ef931"",""species"":""Draconian"",""portrait"":""https://lbqhiwudvifmkjtkccdg.supabase.co/storage/v1/object/public/portraits/ce4fd023-4645-4b56-9a74-ed874c6ef931/4945c52c-3297-4227-905c-08cc3150ab58.jpg"",""archetype"":""Martial"",""characterId"":""4945c52c-3297-4227-905c-08cc3150ab58"",""characterName"":""Serix"",""ownerUsername"":""player502167""}]","[""296eff84-0eb6-4665-b08c-055fa995a421"",""99bc6d80-6c35-401c-aadf-db1655a178d0"",""6cf350ff-6014-4a06-a145-8a9ccd2e8b9b"",""ce4fd023-4645-4b56-9a74-ed874c6ef931""]",player266612,,
5a3115d5-0ecd-46f6-8f55-765837148b29,c8524889-5843-4e34-a8bf-e52d7e11bf32,Kadin's Campagin,Yay!,ABX9MXNJ,"[{""level"":1,""userId"":""180d9e55-ccc4-459c-9be5-1dc4be8ede1e"",""species"":""Elf"",""archetype"":""Martial"",""characterId"":""5f04b982-5733-42ce-bf9d-42c603fbdc1f"",""characterName"":""A guy I just made!"",""ownerUsername"":""kadin_brooksby""}]","[""180d9e55-ccc4-459c-9be5-1dc4be8ede1e""]",Kadin Brooksby,,
faabd31a-8ff2-4f1a-a690-e717e4711e11,8ac29a52-c8d9-48f6-9ee3-5cf909e65f77,The Metal Heart,Kill the bad guy,4HKPF4M8,"[{""level"":3,""userId"":""180d9e55-ccc4-459c-9be5-1dc4be8ede1e"",""species"":""Felin"",""portrait"":""https://lbqhiwudvifmkjtkccdg.supabase.co/storage/v1/object/public/portraits/180d9e55-ccc4-459c-9be5-1dc4be8ede1e/871d1ee1-b4d8-4f0d-a8f2-8ba71ba21b45.jpg"",""archetype"":""Martial"",""characterId"":""871d1ee1-b4d8-4f0d-a8f2-8ba71ba21b45"",""characterName"":""Talavas"",""ownerUsername"":""player711663""},{""level"":1,""userId"":""8ac29a52-c8d9-48f6-9ee3-5cf909e65f77"",""species"":""Halfling"",""archetype"":""Power"",""characterId"":""70c4ae4e-baea-412e-a3cd-46786aff83da"",""characterName"":""Toby"",""ownerUsername"":""player168926""}]","[""180d9e55-ccc4-459c-9be5-1dc4be8ede1e"",""8ac29a52-c8d9-48f6-9ee3-5cf909e65f77""]",player168926,,
